Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
0.8406385281385281,0.7229437229437229,0.7061688311688311,0.6068722943722944,0.7573051948051948,0.6870941558441559,0.8246753246753247,0.8030303030303031,0.7878787878787878,0.8076298701298702,0.8051948051948052,0.8019480519480519,0.8065476190476191,0.816017316017316,0.7721861471861471,0.7827380952380951,0.7867965367965368,0.7870670995670995,0.8084415584415584,0.7767857142857143,0.7581168831168831,0.7804383116883118,0.7742153679653678,0.8123647186147187,0.7858495670995672,0.7674512987012987,0.7483766233766234,0.7520292207792207,0.7757034632034633,0.7564935064935066,0.7533820346320346,0.8011363636363636,0.8011363636363636,0.8070887445887446,0.8211580086580086,0.7978896103896105,0.6661255411255411,0.6471861471861472,0.5607413419913421,0.6128246753246753,0.8520021645021645,0.7478354978354979,0.6427218614718614,0.6777597402597402,0.6135010822510822,0.6136363636363636
0.7492941840767928,0.6654432523997741,0.6086956521739131,0.5025409373235461,0.725014116318464,0.4906832298136646,0.7300959909655562,0.7190852625635235,0.7323546019198193,0.7515527950310558,0.7351778656126482,0.7250141163184641,0.738001129305477,0.769339356295878,0.7292490118577075,0.7597402597402597,0.7507058159232073,0.6897233201581028,0.7317899491812536,0.7396950875211745,0.7230378317334839,0.7044042913608132,0.6815358554488989,0.7213438735177865,0.7430830039525692,0.6936758893280632,0.7203557312252965,0.6689723320158103,0.7084980237154151,0.7227555053642011,0.7183794466403163,0.7148503670242801,0.7278373800112931,0.7416713721061546,0.7289666854884246,0.746188594014681,0.5945793337097686,0.5542066629023151,0.5420666290231508,0.49548277809147373,0.748447204968944,0.7645398080180689,0.6175889328063241,0.6140598531902879,0.5430547713156408,0.5050818746470921
0.8145115753811406,0.6919819311123659,0.6298701298701299,0.5684641445511012,0.7144268774703557,0.5443252399774139,0.779785431959345,0.7574816487859966,0.7843026538678713,0.7854319593450029,0.7885375494071146,0.7619988706945229,0.7619988706945229,0.8077357425183512,0.7676453980801807,0.7701863354037267,0.738565782044043,0.738565782044043,0.7964426877470355,0.7188029361942405,0.751270468661773,0.7238848108413326,0.7238848108413326,0.7830321852060982,0.7063805759457934,0.7156973461321288,0.663466967814794,0.663466967814794,0.6558441558441559,0.6949463579898363,0.700875211744777,0.7487295313382271,0.7487295313382271,0.7730095990965556,0.7893845285149633,0.7933370976849238,0.6129305477131564,0.6106719367588933,0.6339638622247318,0.5093167701863354,0.8085827216261999,0.6967814793901751,0.6242236024844721,0.6414455110107284,0.6675607001693957,0.5666290231507622
0.7789384528514963,0.7337662337662336,0.6750423489553924,0.6096837944664032,0.6960756634669678,0.6736307171089779,0.7456239412761152,0.7439299830604179,0.7265669113495201,0.7419536984754376,0.7555053642010163,0.7837380011293054,0.777244494635799,0.7422360248447204,0.7732919254658386,0.730378317334839,0.7701863354037267,0.7682100508187465,0.7402597402597402,0.7490118577075099,0.7300959909655562,0.7289666854884247,0.7492941840767928,0.6919819311123658,0.7673630717108978,0.7248729531338227,0.7677865612648221,0.7651044607566347,0.7348955392433654,0.765527950310559,0.7226143421795596,0.7435064935064934,0.747459062676454,0.7267080745341615,0.7521174477696216,0.7555053642010163,0.6809712027103332,0.5719932241671373,0.591897233201581,0.541501976284585,0.7673630717108978,0.7162619988706946,0.5677583286278939,0.6857707509881423,0.6191417278373801,0.5365612648221344
0.6338226990400903,0.6521739130434783,0.5446075663466967,0.5546301524562394,0.6263410502540937,0.5985319028797289,0.6911349520045172,0.6756070016939583,0.70214568040655,0.6612083568605307,0.6725014116318464,0.5875211744776963,0.5875211744776963,0.6462450592885376,0.5917560700169396,0.577922077922078,0.6414455110107284,0.6414455110107284,0.6905702992659514,0.6524562394127611,0.6197063805759457,0.6465273856578204,0.6465273856578204,0.6540090344438171,0.6476566911349522,0.6482213438735178,0.6722190852625636,0.6722190852625636,0.6065782044042913,0.5924618859401468,0.6732072275550537,0.5818746470920384,0.5818746470920384,0.5999435347261435,0.6129305477131565,0.5807453416149069,0.6075663466967814,0.5951439864483342,0.5468661773009599,0.6166007905138339,0.6405985319028797,0.6197063805759457,0.5841332580463016,0.6041784302653869,0.5302089215132694,0.570016939582157
0.7080745341614907,0.6420101637492942,0.6533032185206098,0.6266233766233765,0.649915302089215,0.5993788819875776,0.6835121400338793,0.706945228684359,0.7196499153020891,0.7128740824392998,0.6756070016939582,0.6931112365894975,0.6964991530208922,0.7275550536420101,0.6866177300959909,0.694240542066629,0.6730660643704123,0.6818181818181819,0.7151326933935629,0.6533032185206098,0.606154714850367,0.6377752682100508,0.6753246753246753,0.6726425748164878,0.6376341050254093,0.6007905138339922,0.6863354037267081,0.7083568605307735,0.7468944099378882,0.6386222473178995,0.6356578204404291,0.7001693958215697,0.7106154714850367,0.7154150197628458,0.7419536984754376,0.7140033879164315,0.6222473178994917,0.6448334274421231,0.5501129305477132,0.6336815358554488,0.7007340485601355,0.6281761716544325,0.50098814229249,0.6414455110107284,0.5663466967814794,0.6290231507622811
0.7430830039525692,0.6897233201581028,0.7295313382269905,0.6240824392998305,0.7166854884246189,0.5635234330886505,0.6933935629587804,0.6956521739130435,0.7117447769621682,0.7196499153020891,0.6990400903444381,0.6869000564652739,0.6798418972332015,0.7405420666290231,0.6739130434782609,0.6970638057594579,0.6883116883116883,0.6815358554488989,0.717391304347826,0.6756070016939582,0.6928289102202145,0.7007340485601354,0.698334274421231,0.7508469791078487,0.7036984754376059,0.6945228684359119,0.7024280067758328,0.7154150197628459,0.7104743083003952,0.7336250705815923,0.6801242236024845,0.7518351214003387,0.7487295313382271,0.7476002258610954,0.7642574816487859,0.7363071710897798,0.6640316205533596,0.6773009599096556,0.6142010163749295,0.5698757763975155,0.7196499153020892,0.6064370412196498,0.5306324110671937,0.6645962732919255,0.6588085827216262,0.5698757763975155
0.7555053642010164,0.7769621682665161,0.7241671372106155,0.6053077357425183,0.6988989271597967,0.6134952004517222,0.7701863354037267,0.7749858836815358,0.756352343308865,0.7603049124788256,0.7574816487859967,0.7580463015245624,0.7730095990965556,0.7269904009034445,0.7320722755505364,0.7159796725014116,0.7351778656126483,0.7363071710897798,0.7063805759457933,0.7029926595143987,0.7092038396386223,0.6861942405420667,0.7236024844720497,0.75,0.753811405985319,0.7107566346696781,0.7271315640880858,0.7501411631846414,0.7597402597402597,0.7591756070016941,0.7473178994918126,0.7380011293054771,0.7444946357989837,0.7326369282891022,0.767080745341615,0.7447769621682665,0.7131564088085828,0.7368718238283456,0.65527950310559,0.6055900621118012,0.7651044607566346,0.745906267645398,0.6438452851496329,0.6964991530208922,0.611518915866742,0.6115189158667419
0.7523997741389046,0.7408243929983059,0.5722755505364201,0.5206098249576511,0.7224731789949181,0.6050254093732356,0.7334839073969509,0.7535290796160361,0.7435064935064936,0.7337662337662337,0.7583286278938453,0.6970638057594579,0.7298136645962733,0.7117447769621682,0.6871823828345568,0.7035573122529644,0.6981931112365894,0.7408243929983059,0.7086391869000565,0.6885940146809711,0.6987577639751553,0.7209203839638623,0.7391304347826086,0.7096273291925466,0.6837944664031621,0.7210615471485037,0.6797007340485601,0.6860530773574252,0.7099096555618294,0.7093450028232636,0.7484472049689441,0.7148503670242802,0.7276962168266515,0.7295313382269903,0.7063805759457933,0.7305194805194806,0.7411067193675889,0.6437041219649915,0.5869565217391304,0.6033314511575381,0.7634105025409373,0.6857707509881422,0.5724167137210615,0.7343308865047995,0.5923207227555054,0.6013551665725578
0.8543028322440087,0.7306644880174291,0.6800108932461874,0.5840141612200436,0.783769063180828,0.6416122004357299,0.852124183006536,0.8450435729847494,0.7829520697167757,0.843681917211329,0.8363289760348583,0.8480392156862745,0.8480392156862745,0.8706427015250545,0.8570261437908496,0.8393246187363835,0.8246187363834423,0.8246187363834423,0.7799564270152505,0.8295206971677559,0.783769063180828,0.8137254901960784,0.8137254901960784,0.7968409586056645,0.8534858387799564,0.8077342047930284,0.7821350762527233,0.7821350762527233,0.7723311546840957,0.7911220043572985,0.7627995642701525,0.8104575163398693,0.8104575163398693,0.8545751633986928,0.8583877995642701,0.8548474945533769,0.6811002178649238,0.6018518518518519,0.5615468409586056,0.5893246187363834,0.846677559912854,0.7143246187363834,0.5799291938997821,0.7086056644880175,0.7173202614379085,0.6263616557734206
